tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Life,1,1,The Making of Life,"Jan 11, 2009",8.0,46,A behind-the-scenes look at the series' most memorable moments around the world through the eyes of the cameramen and women.,https://www.imdb.com/title/tt10461030/,tt1533395,"David Attenborough 's legendary BBC crew explains and shows wildlife all over planet earth in 10 episodes. The first is an overview of the challenges facing life, the others are dedicated to hunting, the deep sea and various major evolutionary groups of creatures: plants, primates and other large sections of other vertebrates and invertebrates."
Life,1,2,Challenges of Life,"Oct 12, 2009",8.7,699,"David Attenborough shows us how some animals have evolved new hunting, mating and parental techniques to help them survive the challenges of life.",https://www.imdb.com/title/tt1535233/,tt1533395,"David Attenborough 's legendary BBC crew explains and shows wildlife all over planet earth in 10 episodes. The first is an overview of the challenges facing life, the others are dedicated to hunting, the deep sea and various major evolutionary groups of creatures: plants, primates and other large sections of other vertebrates and invertebrates."
Life,1,3,Reptiles & Amphibians,"Oct 19, 2009",8.7,593,"Reptilians survive from the age of the Saurians, but if many look Ancient that's because their early and sometimes relatively recent adaptations to widely varied conditions worldwide still work admirably. Examples include lizards like the giant Komodo dragon, still top-dog on his Indonesian island, the feared crocodilian hunters, color-changing chameleons and snake sp... Read all",https://www.imdb.com/title/tt1558023/,tt1533395,"David Attenborough 's legendary BBC crew explains and shows wildlife all over planet earth in 10 episodes. The first is an overview of the challenges facing life, the others are dedicated to hunting, the deep sea and various major evolutionary groups of creatures: plants, primates and other large sections of other vertebrates and invertebrates."
Life,1,4,Mammals,"Oct 26, 2009",8.5,546,Mammals dominate the planet. They do it through having warm blood and by the care they lavish on their young. Filming in the bitter Antarctic winter reveal how a mother Weddell seal wears her teeth down keeping open a hole in the ice so she can catch fish for her pup. A powered hot air balloon captures stunning images of millions of migrating bats as they converge on ... Read all,https://www.imdb.com/title/tt1561895/,tt1533395,"David Attenborough 's legendary BBC crew explains and shows wildlife all over planet earth in 10 episodes. The first is an overview of the challenges facing life, the others are dedicated to hunting, the deep sea and various major evolutionary groups of creatures: plants, primates and other large sections of other vertebrates and invertebrates."
Life,1,5,Fish,"Nov 2, 2009",8.5,515,"Countless fish fill the seas and almost all other waters on the blue planet, some even visit or invade bordering land. Evolution created a huge variety in size, shape, defense means etc., fit for varies ways of life in all kinds of waters, allowing camouflage, shelter etc. They occupy various positions in aquatic and related food chains, eaten by and/or eating other f... Read all",https://www.imdb.com/title/tt1561892/,tt1533395,"David Attenborough 's legendary BBC crew explains and shows wildlife all over planet earth in 10 episodes. The first is an overview of the challenges facing life, the others are dedicated to hunting, the deep sea and various major evolutionary groups of creatures: plants, primates and other large sections of other vertebrates and invertebrates."
Life,1,6,Birds,"Nov 9, 2009",8.3,491,"Birds descend from dinosaurs who developed feathers. Those allow most of them to fly, which few other vertebrates can. Some birds gave up flying, like penguins, who specialize in diving and prove feather's fabulous insulating efficiency. Feathers are also key to courting, almost as varied as bird physiognomy and ways of solitary or social life almost all over the glob... Read all",https://www.imdb.com/title/tt1561890/,tt1533395,"David Attenborough 's legendary BBC crew explains and shows wildlife all over planet earth in 10 episodes. The first is an overview of the challenges facing life, the others are dedicated to hunting, the deep sea and various major evolutionary groups of creatures: plants, primates and other large sections of other vertebrates and invertebrates."
Life,1,7,Insects,"Nov 16, 2009",8.5,493,"Insects and - species outnumber all higher animals by far. Their immense variety reflect adaptation to an extreme range of ecological conditions, even gravely toxic ones. Especially the nearly 60,000 fly species cover about all the globe. Many can fly, which helps getting everywhere, but they also occur on/in soil, water, host plants or animals, cavities etcetera. The... Read all",https://www.imdb.com/title/tt1561894/,tt1533395,"David Attenborough 's legendary BBC crew explains and shows wildlife all over planet earth in 10 episodes. The first is an overview of the challenges facing life, the others are dedicated to hunting, the deep sea and various major evolutionary groups of creatures: plants, primates and other large sections of other vertebrates and invertebrates."
Life,1,8,Hunters and Hunted,"Nov 23, 2009",8.3,474,"The struggle of life is often based on 'eat (and/)or be eaten'. Therefore evolutionary success is largely defined in terms of skills to survive as prey and/or hunter. Mammals are particularly successful worldwide because the add to anatomical adaptation an intelligence allowing quick and greatly diverse strategies to find preys, shelter, fight (back) etcetera.",https://www.imdb.com/title/tt1561893/,tt1533395,"David Attenborough 's legendary BBC crew explains and shows wildlife all over planet earth in 10 episodes. The first is an overview of the challenges facing life, the others are dedicated to hunting, the deep sea and various major evolutionary groups of creatures: plants, primates and other large sections of other vertebrates and invertebrates."
Life,1,9,Creatures of the Deep,"Nov 30, 2009",8.5,483,"Marine invertebrates, the descendants of one billion years of evolutionary history, are the most abundant creatures in the ocean. In the Sea of Cortez, packs of Humboldt squid make night-time raids from the deep to co-operatively hunt sardines. Beneath the permanent Antarctic sea ice of McMurdo Sound, sea urchins, red sea stars and nemertean worms are filmed scavengin... Read all",https://www.imdb.com/title/tt1561891/,tt1533395,"David Attenborough 's legendary BBC crew explains and shows wildlife all over planet earth in 10 episodes. The first is an overview of the challenges facing life, the others are dedicated to hunting, the deep sea and various major evolutionary groups of creatures: plants, primates and other large sections of other vertebrates and invertebrates."
Life,1,10,Plants,"Dec 7, 2009",8.7,501,"Flora has evolved to live in extreme conditions and a wide variety of locations and seen as the eldest 'creatures' on the planet. Their struggle for life, like animals (only usually much slower), is about food (including parasitism and 'flesh-eating'). They strive to find water, to procreate: notably pollination-mostly by animals and semination - gliding or by weather... Read all",https://www.imdb.com/title/tt1561896/,tt1533395,"David Attenborough 's legendary BBC crew explains and shows wildlife all over planet earth in 10 episodes. The first is an overview of the challenges facing life, the others are dedicated to hunting, the deep sea and various major evolutionary groups of creatures: plants, primates and other large sections of other vertebrates and invertebrates."
Life,1,11,Primates,"Dec 14, 2009",8.5,454,"Primates include apes, monkeys and even more primitive simians, such as lemurs. Thanks to their intelligence, the higher primates take adaptation beyond anatomical evolution: their behavior transcends instinct thanks to learning and invention. Their social life especially holds the seeds of human culture, such as tribal warfare. They occur in widely different environm... Read all",https://www.imdb.com/title/tt1575290/,tt1533395,"David Attenborough 's legendary BBC crew explains and shows wildlife all over planet earth in 10 episodes. The first is an overview of the challenges facing life, the others are dedicated to hunting, the deep sea and various major evolutionary groups of creatures: plants, primates and other large sections of other vertebrates and invertebrates."
