tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
The Grand Tour,1,1,The Holy Trinity,"Nov 18, 2016",9.0,5227,"The Grand Tour kicks off in California, USA, when Jeremy Clarkson, Richard Hammond and James May take their famous studio tent to Dry Rabbit Lake. Hundreds of fans from across the U.S. traveled to the desert, near Lucerne Valley, outside of Los Angeles, California to be part of the first ever episode of Jeremy, Richard and James new show for Amazon Prime.",https://www.imdb.com/title/tt5715192/,tt5712554,"Follow Jeremy, Richard, and James, as they embark on an adventure across the globe, driving new and exciting automobiles from manufacturers all over the world."
The Grand Tour,1,2,Operation Desert Stumble,"Nov 25, 2016",6.9,4503,"Jeremy Clarkson, Richard Hammond and James May bring the traveling Grand Tour tent to The Cradle of Humankind near Johannesburg in South Africa. In this show, the three hosts are forced to become special forces soldiers with an all action challenge at a top secret training base, deep within Jordan. Also in this episode, Jeremy introduces the 800 horsepower Aston Martin Vulcan to the Grand Tour test track, and James is sent to investigate an unusual form of motorsport called spinning.",https://www.imdb.com/title/tt6068824/,tt5712554,"Follow Jeremy, Richard, and James, as they embark on an adventure across the globe, driving new and exciting automobiles from manufacturers all over the world."
The Grand Tour,1,3,"Opera, Arts and Donuts","Dec 2, 2016",8.2,2932,"The travelling tent lands on the quayside in Whitby, England where Jeremy, Richard and James introduce a modern take on the traditional Italian grand tour featuring an Aston Martin DB11, a Rolls-Royce Dawn and an uninvited guest.",https://www.imdb.com/title/tt6068828/,tt5712554,"Follow Jeremy, Richard, and James, as they embark on an adventure across the globe, driving new and exciting automobiles from manufacturers all over the world."
The Grand Tour,1,4,Enviro-mental,"Dec 9, 2016",8.1,2612,"The Grand Tour studio tent is back in Whitby, England for various complicated reasons, some of which are James's fault. In this show, Jeremy Clarkson tests the Porsche 911 GT3 RS, desperately trying to remain impartial despite knowing that Richard Hammond owns one, and then compares it to the track-focused BMW M4 GTS. Also in this programme, the hosts become unusually ecological as they attempt to create cars made of truly sustainable materials before taking part in what's billed as a green motorsport event. Meanwhile, back at the tent, comedian Jimmy Carr is the ...",https://www.imdb.com/title/tt6068832/,tt5712554,"Follow Jeremy, Richard, and James, as they embark on an adventure across the globe, driving new and exciting automobiles from manufacturers all over the world."
The Grand Tour,1,5,Morroccan Roll,"Dec 16, 2016",8.1,2159,"The Grand Tour travelling tent is in the port of Rotterdam, Holland from where Richard Hammond and James May introduce a twin test between two lightweight sports cars, the civilised Mazda MX5 and the stripped-out Zenos E10, against the stunning backdrop of Morocco. Unfortunately, the pair's North African adventure is ruined by the arrival of the horribly dressed Jeremy Clarkson in the horribly expensive Alfa Romeo 4C Spider. Also in this show, Hammond and May attempt to reinvent a traditional board game by playing it with cars, and legendary Dutch band Golden Earring ...",https://www.imdb.com/title/tt6068834/,tt5712554,"Follow Jeremy, Richard, and James, as they embark on an adventure across the globe, driving new and exciting automobiles from manufacturers all over the world."
The Grand Tour,1,6,Happy Finnish Christmas,"Dec 23, 2016",8.5,2087,"The Grand Tour pitches its travelling studio in Kakslauttanen, Finland, deep within the Arctic Circle. In this show, Richard Hammond is very excited by the UK arrival of the very first Ford Mustang to be made in right-hand-drive and then very annoyed when Jeremy Clarkson turns up with a Ford Focus RS loudly claiming that it's better. Meanwhile, James May recounts the epic battle between Ford and Ferrari for supremacy in the Le Mans endurance race of the 1960s. Plus, the presenters have some Christmas gift suggestions for the car enthusiast.",https://www.imdb.com/title/tt6068836/,tt5712554,"Follow Jeremy, Richard, and James, as they embark on an adventure across the globe, driving new and exciting automobiles from manufacturers all over the world."
The Grand Tour,1,7,The Beach (Buggy) Boys - Part 1,"Dec 30, 2016",8.7,2232,"In the first of two special shows, The Grand Tour abandons its usual travelling tent for a road trip across Namibia as Jeremy Clarkson, Richard Hammond and James May attempt to demonstrate the brilliance of that great '60s throwback, the beach buggy. Grand Tour boss man Mr Wilman has declared that beach buggies are terrible, and its up to the hosts to prove him wrong as they saddle up three examples built to their own specifications and set off on an epic journey across the deserts of south west Africa.",https://www.imdb.com/title/tt6068840/,tt5712554,"Follow Jeremy, Richard, and James, as they embark on an adventure across the globe, driving new and exciting automobiles from manufacturers all over the world."
The Grand Tour,1,8,The Beach (Buggy) Boys - Part 2,"Dec 31, 2016",8.6,2048,"In the second show of a two-part special, Jeremy Clarkson, Richard Hammond and James May continue in their epic trip across Namibia as they attempt to prove that beach buggies are brilliant. Having escaped the challenging desert at last, the trio must now face the rough roads of the Namibian bush and the constant malfunction of Clarkson's V8-powered buggy. As their arduous journey nears its conclusion, the hosts camp out in style and embark on their own version of rhino conservation before coming up with an unusual and potentially perilous way to reach their finish ...",https://www.imdb.com/title/tt6068844/,tt5712554,"Follow Jeremy, Richard, and James, as they embark on an adventure across the globe, driving new and exciting automobiles from manufacturers all over the world."
The Grand Tour,1,9,Berks to the Future,"Jan 6, 2017",8.1,1727,"The Grand Tour travelling tent arrives Stuttgart, Germany, the home of Porsche and Mercedes-Benz. In this show, James May takes the new Honda NSX supercar to the Eboladrome to push its cutting-edge hybrid technology to the limit and Richard Hammond immerses himself in the world of doomsday preppers as he constructs a 'bugout' vehicle that will allow him to survive a bleak future of nuclear winters, alien invasions and massed herds of zombies. Meanwhile, in a less realistic attempt at engineering, Jeremy Clarkson invents a new kind of fashionable SUV. Also in this show...",https://www.imdb.com/title/tt6068846/,tt5712554,"Follow Jeremy, Richard, and James, as they embark on an adventure across the globe, driving new and exciting automobiles from manufacturers all over the world."
The Grand Tour,1,10,Dumb Fight at the O.K. Coral,"Jan 13, 2017",7.8,1578,"The Grand Tour travelling tent arrives in Nashville, Tennessee from where Jeremy Clarkson, Richard Hammond and James May introduce their attempt to save the world's coral reefs using only a selection of car body shells and some extremely inept boat driving. Also in this show, Jeremy finally indulges his series-long Alfa Romeo obsession with a test of the new, 500 horsepower Giulia Quadrifoglio and AC/DC singer Brian Johnson comes to the tent to try his hand at Celebrity Brain Crash.",https://www.imdb.com/title/tt6068850/,tt5712554,"Follow Jeremy, Richard, and James, as they embark on an adventure across the globe, driving new and exciting automobiles from manufacturers all over the world."
