tv,season,episode_number,title,airdate,rating,total_votes,episode_desc,episode_url,encoded_title,show_desc
Freaks and Geeks,1,1,Pilot,"Sep 25, 1999",8.6,2400,"In 1980, a group of high school students face various social struggles. Wealthy ""brain"" Lindsay wants to rebel. Her geeky freshman brother Sam and his two friends are targeted by a bully.",https://www.imdb.com/title/tt0582679/,tt0193676,A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.
Freaks and Geeks,1,2,Beers and Weirs,"Oct 2, 1999",8.6,2000,"When Mr. and Mrs. Weir go out of town for the weekend, Lindsay hosts a keg party. Sam, Bill, and Neal are worried that the party-goers will get too rowdy, so they substitute a keg of non-alcoholic beer for the one the freaks have on ice.",https://www.imdb.com/title/tt0582669/,tt0193676,A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.
Freaks and Geeks,1,3,Tricks and Treats,"Oct 30, 1999",8.3,1800,"Halloween doesn't go as expected for Sam, Lindsay, or their parents.",https://www.imdb.com/title/tt0582685/,tt0193676,A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.
Freaks and Geeks,1,4,Tests and Breasts,"Nov 6, 1999",8.7,1800,"Daniel cons Lindsay into helping him pass an algebra test, while Sam and his pals try to figure out the basics of human sexuality.",https://www.imdb.com/title/tt0582681/,tt0193676,A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.
Freaks and Geeks,1,5,I'm with the Band,"Nov 13, 1999",8.5,1700,"Lindsay encourages Nick to pursue a career in music. Nick continues to practice with his current band, but quickly decides he's better than them. Lindsay encourages Nick to audition for a bigger local band. When things don't go well in the audition, Lindsay is there to comfort Nick. Sam, Bill, and Neal struggle with having to shower in gym class.",https://www.imdb.com/title/tt0582675/,tt0193676,A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.
Freaks and Geeks,1,6,Carded and Discarded,"Jan 10, 2000",8.7,1700,"Sam, Neal, and Bill befriend a pretty new transfer student, but soon fear of losing her to the popular crowd and try to win her over with a series of fun things they plan for her. Lindsay, Nick, Daniel, and Ken decide to get fake IDs so they can see a hot local band perform at a bar. However, after they go through the trouble of getting their IDs and going into the ba... Read all",https://www.imdb.com/title/tt0582670/,tt0193676,A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.
Freaks and Geeks,1,7,Girlfriends and Boyfriends,"Jan 17, 2000",8.4,1600,"Lindsay and Nick get more serious, and her parents give unwanted advice. Sam joins the yearbook staff to get closer to Cindy, who thinks of him only as a friend.",https://www.imdb.com/title/tt0582674/,tt0193676,A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.
Freaks and Geeks,1,8,We've Got Spirit,"Jan 24, 2000",8.4,1600,"Sam tries out to be the school mascot hoping to impress Cindy. Meanwhile, Daniel, Ken, and Kim suddenly become the basketball team's most rabid fans following a series of run-ins with jocks from the rival school, Lincoln High. Lindsay tries to figure out the best way to break up with Nick.",https://www.imdb.com/title/tt0582686/,tt0193676,A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.
Freaks and Geeks,1,9,The Diary,"Jan 31, 2000",8.6,1500,"Lindsay's parents are convinced Kim is leading their daughter down a path toward drugs and sex, so they consider taking a peek in her diary. Meanwhile, Bill is tired of the same jocks picking the teams during P.E., often leaving him picked last, so he makes prank calls to Coach Fredricks then confronts him directly. The adults may be the ones learning lessons from the... Read all",https://www.imdb.com/title/tt0582682/,tt0193676,A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.
Freaks and Geeks,1,10,Looks and Books,"Feb 7, 2000",8.9,1600,"Lindsay stops hanging out with her ""freak"" friends after a car accident, and decides to rejoin the mathletes. Sam adopts a new modern hair style and wardrobe in the hopes of impressing Cindy.",https://www.imdb.com/title/tt0582677/,tt0193676,A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.
Freaks and Geeks,1,11,The Garage Door,"Mar 13, 2000",8.8,1600,Neal learns his father is cheating on his mother. Ken develops a crush on the tuba player in the school's marching band and Lindsay helps set them up.,https://www.imdb.com/title/tt0582683/,tt0193676,A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.
Freaks and Geeks,1,12,Chokin' and Tokin',"Mar 20, 2000",9.0,1700,"When Bill talks about being allergic to peanuts in class, Alan tries to prove he's lying but Bill ends up in the hospital after an allergic reaction. Lindsay smokes weed for the first time.",https://www.imdb.com/title/tt0582671/,tt0193676,A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.
Freaks and Geeks,1,13,Kim Kelly Is My Friend,"Apr 30, 2000",8.5,1800,"Kim befriends Lindsay but she has ulterior motives, while Sam is bullied mercilessly by Karen Scarfolli, whose locker is next to his.",https://www.imdb.com/title/tt0582676/,tt0193676,A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.
Freaks and Geeks,1,14,Discos and Dragons,"Jul 8, 2000",9.2,2000,"Nick explores disco, Lindsay listens to the Grateful Dead, and Daniel tries something new. What's cool? Friendship.",https://www.imdb.com/title/tt0582673/,tt0193676,A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.
Freaks and Geeks,1,15,Smooching and Mooching,"Jul 8, 2000",9.2,1700,Nick stays with the Weirs after a fight with his father and the geeks go to a make-out party.,https://www.imdb.com/title/tt0582680/,tt0193676,A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.
Freaks and Geeks,1,16,The Little Things,"Jul 8, 2000",9.0,1600,"As McKinley High prepares for a visit from Vice President Bush, Ken and Sam must sort out conflicted feelings in their love lives.",https://www.imdb.com/title/tt0582684/,tt0193676,A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.
Freaks and Geeks,1,17,Dead Dogs and Gym Teachers,"Oct 10, 2000",8.8,1600,"Lindsay tries to convince Harold to let her join her friends at a Who concert. Kim and Lindsay accidentally run over Millie's dog. Kim starts hanging out with Millie. Lindsay wants to tell Millie the truth about her dog, but Kim does not. Meanwhile, Nick teaches himself to play guitar and writes a love ballad for Lindsay. Ms. Haverchuck stuns Bill with the news that s... Read all",https://www.imdb.com/title/tt0582672/,tt0193676,A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.
Freaks and Geeks,1,18,Noshing and Moshing,"Oct 17, 2000",8.7,1600,Neal wrestles with the dilemma of whether to tell his mother about his father's affair. Lindsay is given detention after coming to the aid of a girl being attacked by a boy. Daniel deals with pressures at home and with Kim. He escapes from his problems through punk music.,https://www.imdb.com/title/tt0582678/,tt0193676,A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.
